id,Category,name,subtitle,price,discount_price,main_image_url,secondary_image_url
1,Yogures desnatados,Yogur natural edulcorado Hacendado 0% m.g 0% sin azúcares añadidos,6 ud. x 125 g,1.0,,https://prod-mercadona.imgix.net/images/33f2d65c7db67c6b9379b6627e67a1f7.jpg?fit=crop&h=300&w=300,
2,Yogures desnatados,Postre lácteo cremoso natural edulcorado Hacendado 0% m.g 0% sin azúcares añadidos,6 ud. x 125 g,1.4,,https://prod-mercadona.imgix.net/images/9031ccad52b87cc4f7b907043fb06df7.jpg?fit=crop&h=300&w=300,
3,Yogures desnatados,Postre lácteo con fresa +Proteínas Hacendado 0% m.g 10 g proteínas,4 ud. x 120 g,1.5,,https://prod-mercadona.imgix.net/images/07f80bc46f0ec301f417a057280bedd7.jpg?fit=crop&h=300&w=300,
4,Yogures desnatados,Yogur natural Hacendado 0% m.g 0% sin azúcares,6 ud. x 125 g,1.0,,https://prod-mercadona.imgix.net/images/61a5b51a9ed495402f8c08319d52eb43.jpg?fit=crop&h=300&w=300,
5,Yogures desnatados,Postre lácteo con arándanos +Proteínas Hacendado 0% m.g 10 g proteínas,4 ud. x 120 g,1.5,,https://prod-mercadona.imgix.net/images/43a9e33b7744d75707831d5318a8bd19.jpg?fit=crop&h=300&w=300,
6,Yogures desnatados,Postre lácteo con fruta Hacendado 0% m.g 0% sin azúcares añadidos,8 ud. x 125 g,2.0,,https://prod-mercadona.imgix.net/images/01ef76f0c2b6dbdf1c6ccf8384805fdf.jpg?fit=crop&h=300&w=300,
7,Yogures desnatados,Yogur sabores Hacendado 0% m.g 0% sin azúcares añadidos,8 ud. x 125 g,1.6,,https://prod-mercadona.imgix.net/images/5dada7f732e10133a9348d7c317c4c14.jpg?fit=crop&h=300&w=300,
8,Yogures desnatados,Yogur sabor fresa Hacendado 0% m.g 0% sin azúcares añadidos,4 ud. x 125 g,0.9,,https://prod-mercadona.imgix.net/images/eba4d8b6922f82c64788aac3dc634f4c.jpg?fit=crop&h=300&w=300,
9,Yogures desnatados,Yogur sabor limón Hacendado 0% m.g 0% sin azúcares añadidos,4 ud. x 125 g,0.9,,https://prod-mercadona.imgix.net/images/83dab01ea89d014ad0c4a56c9da882ca.jpg?fit=crop&h=300&w=300,
10,Yogures desnatados,Postre lácteo sin lactosa natural Hacendado 0% m.g 0% azúcares añadidos,4 ud. x 125 g,1.35,,https://prod-mercadona.imgix.net/images/0d226d4379884475431e18647cf97f81.jpg?fit=crop&h=300&w=300,
11,Yogures desnatados,Postre lácteo con puré mango y maracuya +Proteínas Hacendado 0% m.g 10 g proteínas,4 ud. x 120 g,1.5,,https://prod-mercadona.imgix.net/images/8624e87a5dc56269bdd124345b2ec5a5.jpg?fit=crop&h=300&w=300,
12,Yogures desnatados,Postre lácteo natural +Proteínas Hacendado 0% m.g 10 g proteínas,Bote 500 g,1.4,,https://prod-mercadona.imgix.net/images/7ad06cb40258cdb86b0285f38fe26504.jpg?fit=crop&h=300&w=300,
13,Yogures desnatados,Postre lácteo natural +Proteínas Hacendado 0% m.g 12 g proteínas,4 ud. x 120 g,1.4,,https://prod-mercadona.imgix.net/images/e3ae024200bd6e46c8490761383a17a5.jpg?fit=crop&h=300&w=300,
14,Yogures desnatados,Postre lácteo sabor coco +Proteínas Hacendado 0% m.g 10 g proteínas,4 ud. x 120 g,1.5,,https://prod-mercadona.imgix.net/images/5e18072a424c6218f2bdd6d5ee075e44.jpg?fit=crop&h=300&w=300,
15,Yogures naturales y sabores,Yogur natural Hacendado,6 ud. x 125 g,1.0,,https://prod-mercadona.imgix.net/images/0689561ce98dba5c0b3ad43e69be0f5f.jpg?fit=crop&h=300&w=300,
16,Yogures naturales y sabores,Yogur natural con azúcar de caña Hacendado,6 ud. x 125 g,1.0,,https://prod-mercadona.imgix.net/images/eec021408e0841f454d650882bc182c1.jpg?fit=crop&h=300&w=300,
17,Yogures naturales y sabores,Yogur natural Danone,8 ud. x 120 g,1.99,,https://prod-mercadona.imgix.net/images/95893922af6683ed5eac61b7fcf87ba2.jpg?fit=crop&h=300&w=300,
18,Yogures naturales y sabores,Kéfir natural sabor suave,Bote 500 g,1.2,,https://prod-mercadona.imgix.net/images/996e614f475b8cd286f9a4c15643edea.jpg?fit=crop&h=300&w=300,
19,Yogures naturales y sabores,Yogur natural de cabra Hacendado,4 ud. x 125 g,2.1,,https://prod-mercadona.imgix.net/images/e843fb916d43295d0796f91e9eaa9338.jpg?fit=crop&h=300&w=300,
20,Yogures naturales y sabores,Postre lácteo sin lactosa cremoso natural azucarado Hacendado,4 ud. x 125 g,1.5,,https://prod-mercadona.imgix.net/images/0729bc5f93eb9675ce96f3a583eeb6f3.jpg?fit=crop&h=300&w=300,
21,Yogures naturales y sabores,Yogur sabores Hacendado,16 ud. x 125 g,2.35,,https://prod-mercadona.imgix.net/images/1407f6075fd762f131ffddc33b5cc879.jpg?fit=crop&h=300&w=300,
22,Yogures naturales y sabores,Yogur sabor fresa Hacendado,4 ud. x 125 g,0.75,,https://prod-mercadona.imgix.net/images/a3ee0c2ad42204899ded9d3ab163fb78.jpg?fit=crop&h=300&w=300,
23,Yogures naturales y sabores,Yogur sabor limón Hacendado,4 ud. x 125 g,0.75,,https://prod-mercadona.imgix.net/images/478aa865e76a8ffdcdd11c753d4571b1.jpg?fit=crop&h=300&w=300,
24,Yogures naturales y sabores,Yogur sabor macedonia Hacendado,4 ud. x 125 g,0.75,,https://prod-mercadona.imgix.net/images/dd81876fdf2813199f1a38318a06274b.jpg?fit=crop&h=300&w=300,
25,Yogures naturales y sabores,Yogur sabor fresa Danone,4 ud. x 120 g,1.0,,https://prod-mercadona.imgix.net/images/f8812260ca6434fc9db5591da5921877.jpg?fit=crop&h=300&w=300,
26,Yogures naturales y sabores,Yogur cremoso Hacendado con frutos silvestres,Bote 500 g,1.2,,https://prod-mercadona.imgix.net/images/840391a85ff4e6356e14782b46b5a076.jpg?fit=crop&h=300&w=300,
27,Yogures naturales y sabores,Yogur cremoso Hacendado con melocotón y maracuya,Bote 500 g,1.2,,https://prod-mercadona.imgix.net/images/c386b19ece1ec7b708f338fe119cbfd7.jpg?fit=crop&h=300&w=300,
28,Yogures naturales y sabores,Yogur sabor macedonia Danone,4 ud. x 120 g,1.0,,https://prod-mercadona.imgix.net/images/6b9aa6f830fdab0ee48e7e6e25485c1e.jpeg?fit=crop&h=300&w=300,
29,Yogures naturales y sabores,Yogur sabor coco Hacendado,4 ud. x 125 g,0.75,,https://prod-mercadona.imgix.net/images/cc8e96eed15234832336b6340dc0ba6f.jpg?fit=crop&h=300&w=300,
30,Yogures naturales y sabores,Yogur con frutas Hacendado,8 ud. x 125 g,2.0,,https://prod-mercadona.imgix.net/images/d7bedaeb2147b0f2e44144efff9e835a.jpg?fit=crop&h=300&w=300,
31,Yogures naturales y sabores,Yogur sabor coco Danone,4 ud. x 120 g,1.0,,https://prod-mercadona.imgix.net/images/50ccb483b1284d42d6065e011022833f.jpg?fit=crop&h=300&w=300,
32,Yogures naturales y sabores,Yogur sabor galleta Danone,4 ud. x 120 g,1.0,,https://prod-mercadona.imgix.net/images/1080267701c438d7c6683dd74182f4c0.jpg?fit=crop&h=300&w=300,
33,Yogures naturales y sabores,Postre lácteo sin lactosa sabor fresa Hacendado,4 ud. x 125 g,1.45,,https://prod-mercadona.imgix.net/images/cd6cf73f90d45dce7412fd25c1509c46.jpg?fit=crop&h=300&w=300,
